BC,feat,trn_u,trn_s,val_u,val_s,PLD_u,PLD_s,LD1_u,LD1_s,IL1_u,IL1_s,LD2_u,LD2_s,IL2_u,IL2_s,method
3,E+M,82.169443,0.7801948,66.955793,0.5365821,79.520373,0.5772075,173.689956,2.875656,148.855127,2.65821,194.053281,2.994849,132.635334,2.418455,XGBoost
3,E+M,40.252289,0.073061,38.078905,0.179065,53.360528,0.064912,156.081015,0.08519,131.324906,0.071668,176.329064,0.090062,115.139414,0.049293,RF
3,E,40.195804,0.089564,38.42752,0.101588,53.440341,0.04478,156.196605,0.044488,131.441084,0.044306,176.445589,0.044502,115.236422,0.044827,RF
3,E+T,71.093782,0.345845,51.543615,0.626989,62.360478,0.461345,153.268081,0.18342,128.511406,0.183437,173.517065,0.183427,112.418052,0.180863,RF
3,E+T+M,71.331416,0.36451,52.126607,0.510185,62.431644,0.323672,153.435953,0.115186,128.684417,0.118384,173.685794,0.113489,112.498934,0.120834,RF
3,E,24.13839793,,,,32.34977641,,48.06308188,,46.97394956,,46.04120243,,48.83195164,,VAR
3,E+M,15.01247416,,,,52.19114294,,87.56415085,,83.39498985,,70.57039251,,64.26335395,,VAR
3,E+T,22.65749256,,,,31.09088506,,51.6730378,,45.95335266,,48.75171525,,57.25241746,,VAR
3,E+T+M,14.34133438,,,,48.08767219,,86.3945673,,78.25413699,,70.76040723,,68.60546501,,VAR
3,E,26.76439143,,24.79634266,,23.63629672,,14.96303111,,12.0392809,,10.33399136,,20.14218352,,VAR+OL
3,E+M,18.76390516,,43.34103124,,40.65817282,,29.20306322,,23.78157121,,18.81546385,,32.90396524,,VAR+OL
3,E+T,23.92868202,,23.25196588,,23.163077,,15.70126433,,13.28110463,,11.07858366,,19.2659966,,VAR+OL
3,E+T+M,18.29753122,,41.06691446,,39.52120584,,27.65993688,,23.92172198,,19.08352223,,30.0254469,,VAR+OL
4,E,22.814714,0.294314,16.078436,0.245489,16.87455,0.291024,10.741396,0.256151,12.505918,0.230078,8.055834,0.116801,13.917316,0.225049,FSNet
4,E+T,25.033642,0.403769,19.247557,0.373407,18.883434,0.246943,10.817175,0.304972,13.286118,0.258961,8.28729,0.173352,14.202368,0.209215,FSNet
4,E+M,23.261759,0.281206,16.8287,0.329767,16.037252,0.221938,9.480831,0.188644,11.063697,0.125545,6.985692,0.115994,11.802129,0.218777,FSNet
4,E+T+M,22.953504,0.31825,17.878467,0.190879,17.590933,0.129157,10.627183,0.288906,12.786421,0.291871,8.202238,0.170216,13.673038,0.312086,FSNet
4,E,27.917577,0.066498,21.432643,0.078574,23.874312,0.026192,11.94979,0.022128,16.254708,0.052254,9.470538,0.047032,19.365347,0.034724,NBEATS+OL
4,E+T,33.816938,0.188005,32.831825,0.213904,28.417941,0.096931,29.113412,0.450538,25.288239,0.271192,19.99677,0.127986,23.607409,0.236331,NBEATS+OL
4,E+M,29.657744,0.249975,24.830842,0.290711,25.261005,0.074005,18.123579,0.163777,18.308492,0.195493,13.132621,0.198672,21.360759,0.111631,NBEATS+OL
4,E+T+M,37.785684,0.298425,32.518633,0.207912,28.440694,0.097869,28.101984,0.196952,25.198643,0.191423,20.496525,0.140234,24.424045,0.265001,NBEATS+OL
4,E,21.702796,0.063882,21.120367,0.190435,24.726596,0.11047,54.740052,1.967496,32.78049,0.822354,61.376846,2.371034,30.043713,0.670899,NBEATS
4,E+T,8.768554,0.446359,30.514224,0.640332,29.898292,0.21864,50.328854,7.759184,48.319112,2.741629,59.13624,9.017348,40.608433,2.156575,NBEATS
4,E+M,20.71929,0.162877,23.59328,0.139812,25.561311,0.175144,40.554861,1.335069,27.164325,0.662557,43.140071,1.60099,29.005906,0.815624,NBEATS
4,E+T+M,18.483496,0.098689,29.592592,0.581813,35.611762,0.302191,151.969664,10.424,102.877168,7.695254,166.509335,10.769364,90.204233,5.894486,NBEATS
4,E,34.378723,9.625422,33.210992,13.093768,33.568715,2.801881,13.97045,1.084647,17.929819,2.341374,8.91452,0.624684,21.311064,1.069729,LSTM+OL
4,E+T,29.321007,0.614608,23.976856,0.824515,32.890461,2.204576,18.711451,4.98721,23.050502,4.660828,11.287549,2.911262,27.173793,5.754049,LSTM+OL
4,E+M,27.398361,1.092397,25.339778,4.059866,33.351779,2.266185,15.128343,1.950506,19.446864,5.263052,9.906182,1.899015,22.2749,2.651523,LSTM+OL
4,E+T+M,29.456628,1.028595,24.304861,1.383685,33.02254,2.72785,14.641863,1.952908,19.797979,2.786841,10.062706,1.409474,23.594366,3.244226,LSTM+OL
4,E,27.301956,0.902177,31.962736,2.17405,30.905962,1.217037,91.277271,4.447056,52.751336,3.130141,110.947462,4.716164,48.094521,3.020721,LSTM
4,E+M,15.10092,1.804964,33.079911,2.173761,31.836332,1.620124,115.371295,6.155973,86.895136,6.847556,132.899986,6.780012,67.017624,4.24394,LSTM
4,E+T,36.386734,0.855685,34.463514,0.891672,42.4097,0.871885,141.890999,1.912646,91.62715,2.350756,163.653447,2.486962,85.072495,0.799919,LSTM
4,E+T+M,13.088647,1.824478,32.241314,3.102687,33.63348,1.156287,124.381059,11.021733,91.432378,8.516663,141.657521,11.08858,74.788319,6.425802,LSTM
4,E+T,27.943337,0.2669322,32.668109,0.4990831,35.577315,0.5119236,134.509021,3.863229,81.658614,2.470732,154.451439,3.898882,76.216515,1.993065,XGBoost
4,E+M,33.115371,0.1037638,29.734337,0.1692121,38.35286,0.1662553,139.257353,2.53304,91.898398,1.939602,159.646846,2.392782,84.43384,1.415286,XGBoost
4,E+T+M,41.448132,0.2498143,29.510015,0.2952304,42.201288,0.1817519,150.999293,2.319445,100.706346,1.723022,173.091856,2.257836,91.654846,1.141552,XGBoost
4,E,82.860322,0.2030945,64.233882,0.2359384,77.952649,0.1880357,184.137145,0.2662987,134.663358,0.1676583,204.339033,0.2758343,126.784751,0.1345845,XGBoost
4,E,36.856702,0.293166,29.995728,0.321208,38.718013,0.258936,140.299418,0.131632,90.163427,0.137164,160.965966,0.131865,81.495329,0.118693,RF
4,E+T,55.362115,0.066212,44.515946,0.067218,52.51688,0.068036,136.263684,0.057072,87.053214,0.063176,156.931447,0.057078,79.731702,0.052989,RF
4,E+T+M,55.834056,0.25855,45.190975,0.272795,53.112073,0.261093,136.230073,0.169493,87.825866,0.233901,156.89269,0.170673,80.242687,0.179762,RF
4,E+M,59.156922,2.056436,48.714791,2.34662,56.406486,2.125489,136.339255,0.290012,89.001832,1.451715,157.004686,0.290276,81.578436,1.439476,RF
4,E,23.72836905,,,,25.97506198,,49.37140212,,37.79499411,,55.98595271,,34.49296208,,VAR
4,E+M,15.10696999,,,,52.31021353,,96.28333861,,100.8926087,,101.576685,,67.36617957,,VAR
4,E+T,22.65215654,,,,26.45252062,,44.08856341,,36.40735532,,49.55345043,,31.11656091,,VAR
4,E+T+M,14.48193529,,,,54.46149894,,101.0973839,,97.32557459,,109.7720004,,88.790543,,VAR
4,E,24.00603746,,21.58068526,,23.33961517,,16.78499109,,16.79628965,,10.60215242,,20.15827195,,VAR+OL
4,E+M,18.00573439,,41.26213977,,39.91783022,,31.40313261,,29.76862825,,19.38172038,,35.51339718,,VAR+OL
4,E+T,22.90798598,,22.12208745,,23.42510127,,19.51440395,,17.7140705,,13.35056313,,20.44087575,,VAR+OL
4,E+T+M,17.48606044,,40.62950111,,39.6167563,,29.76119869,,28.87758815,,20.12237413,,33.69586343,,VAR+OL
5,E,2.522752,0.04323,1.79216,0.029061,2.118624,0.0287,1.879817,0.036144,2.787585,0.080675,1.664349,0.034681,1.55252,0.033788,FSNet
5,E+T,2.876011,0.036066,2.194412,0.022592,2.433717,0.014467,2.496415,0.023817,3.463216,0.045689,1.987559,0.017033,1.822904,0.018728,FSNet
5,E+M,2.651989,0.053166,1.915268,0.02138,2.175219,0.026626,1.92202,0.033614,2.792765,0.049577,1.649499,0.027978,1.541785,0.029963,FSNet
5,E+T+M,2.374733,0.040985,1.765812,0.01922,1.963424,0.024134,1.918647,0.038038,2.951161,0.050006,1.689848,0.018302,1.564782,0.030618,FSNet
5,E,3.767774,0.005066,3.066877,0.00622,3.87411,0.002169,3.701172,0.005136,5.452494,0.003923,2.949965,0.002114,2.768758,0.00184,NBEATS+OL
5,E+T,4.520441,0.037261,3.800372,0.037998,3.750436,0.017939,4.401731,0.032701,5.20394,0.013226,3.443073,0.02229,2.997923,0.023555,NBEATS+OL
